Tipo de Delito: Nivel 1;Tipo de Delito: Nivel 2;Tipo de Delito: Nivel 3;Tipo de Delito: Nivel 4;Nacionalidad;Periodo;Total
A Delitos;;;;De América;2016;24.839
A Delitos;;;;De América;2015;21.446
A Delitos;;;;De América;2014;21.997
A Delitos;;;;De América;2013;23.984
A Delitos;;;;De Asia;2024;3.744
A Delitos;;;;De Asia;2023;3.201
A Delitos;;;;De Asia;2022;3.444
A Delitos;;;;De Asia;2021;3.237
A Delitos;;;;De Asia;2020;2.477
A Delitos;;;;De Asia;2019;3.583
A Delitos;;;;De Asia;2018;3.409
A Delitos;;;;De Asia;2017;3.228
A Delitos;;;;De Asia;2016;2.879
A Delitos;;;;De Asia;2015;2.207
A Delitos;;;;De Asia;2014;2.173
A Delitos;;;;De Asia;2013;2.153
A Delitos;;;;De Oceanía;2024;30
A Delitos;;;;De Oceanía;2023;27
A Delitos;;;;De Oceanía;2022;20
A Delitos;;;;De Oceanía;2021;14
A Delitos;;;;De Oceanía;2020;17
A Delitos;;;;De Oceanía;2019;41
A Delitos;;;;De Oceanía;2018;27
A Delitos;;;;De Oceanía;2017;34
A Delitos;;;;De Oceanía;2016;51
A Delitos;;;;De Oceanía;2015;23
A Delitos;;;;De Oceanía;2014;22
A Delitos;;;;De Oceanía;2013;312
A Delitos;1 Homicidio y sus formas;;;Total;2024;1.237
A Delitos;1 Homicidio y sus formas;;;Total;2023;1.046
A Delitos;1 Homicidio y sus formas;;;Total;2022;1.088
A Delitos;1 Homicidio y sus formas;;;Total;2021;1.145
A Delitos;1 Homicidio y sus formas;;;Total;2020;1.036
A Delitos;1 Homicidio y sus formas;;;Total;2019;1.099
A Delitos;1 Homicidio y sus formas;;;Total;2018;1.087
A Delitos;1 Homicidio y sus formas;;;Total;2017;1.158
A Delitos;1 Homicidio y sus formas;;;Total;2016;1.252
A Delitos;1 Homicidio y sus formas;;;Total;2015;1.355
A Delitos;1 Homicidio y sus formas;;;Total;2014;1.295
A Delitos;1 Homicidio y sus formas;;;Total;2013;1.427
A Delitos;1 Homicidio y sus formas;;;Española;2024;930
A Delitos;1 Homicidio y sus formas;;;Española;2023;739
A Delitos;1 Homicidio y sus formas;;;Española;2022;800
A Delitos;1 Homicidio y sus formas;;;Española;2021;876
A Delitos;1 Homicidio y sus formas;;;Española;2020;786
A Delitos;1 Homicidio y sus formas;;;Española;2019;847
A Delitos;1 Homicidio y sus formas;;;Española;2018;837
A Delitos;1 Homicidio y sus formas;;;Española;2017;925
A Delitos;1 Homicidio y sus formas;;;Española;2016;1.028
A Delitos;1 Homicidio y sus formas;;;Española;2015;1.071
A Delitos;1 Homicidio y sus formas;;;Española;2014;1.013
A Delitos;1 Homicidio y sus formas;;;Española;2013;1.096
A Delitos;1 Homicidio y sus formas;;;País de la UE28 sin España;2024;""
A Delitos;1 Homicidio y sus formas;;;País de la UE28 sin España;2023;""
A Delitos;1 Homicidio y sus formas;;;País de la UE28 sin España;2022;""
A Delitos;1 Homicidio y sus formas;;;País de la UE28 sin España;2021;""
A Delitos;1 Homicidio y sus formas;;;País de la UE28 sin España;2020;""
A Delitos;1 Homicidio y sus formas;;;País de la UE28 sin España;2019;97
A Delitos;1 Homicidio y sus formas;;;País de la UE28 sin España;2018;87
A Delitos;1 Homicidio y sus formas;;;País de la UE28 sin España;2017;98
A Delitos;1 Homicidio y sus formas;;;País de la UE28 sin España;2016;80
A Delitos;1 Homicidio y sus formas;;;País de la UE28 sin España;2015;108
A Delitos;1 Homicidio y sus formas;;;País de la UE28 sin España;2014;95
A Delitos;1 Homicidio y sus formas;;;País de la UE28 sin España;2013;101
A Delitos;1 Homicidio y sus formas;;;País de la UE27_2020 sin España;2024;59
A Delitos;1 Homicidio y sus formas;;;País de la UE27_2020 sin España;2023;65
A Delitos;1 Homicidio y sus formas;;;País de la UE27_2020 sin España;2022;68
A Delitos;1 Homicidio y sus formas;;;País de la UE27_2020 sin España;2021;63
A Delitos;1 Homicidio y sus formas;;;País de la UE27_2020 sin España;2020;64
A Delitos;1 Homicidio y sus formas;;;País de la UE27_2020 sin España;2019;""
A Delitos;1 Homicidio y sus formas;;;País de la UE27_2020 sin España;2018;""
A Delitos;1 Homicidio y sus formas;;;País de la UE27_2020 sin España;2017;""
A Delitos;1 Homicidio y sus formas;;;País de la UE27_2020 sin España;2016;""
A Delitos;1 Homicidio y sus formas;;;País de la UE27_2020 sin España;2015;""
A Delitos;1 Homicidio y sus formas;;;País de la UE27_2020 sin España;2014;""
A Delitos;1 Homicidio y sus formas;;;País de la UE27_2020 sin España;2013;""
A Delitos;1 Homicidio y sus formas;;;País de Europa menos UE28;2024;""
A Delitos;1 Homicidio y sus formas;;;País de Europa menos UE28;2023;""
A Delitos;1 Homicidio y sus formas;;;País de Europa menos UE28;2022;""
A Delitos;1 Homicidio y sus formas;;;País de Europa menos UE28;2021;""
A Delitos;1 Homicidio y sus formas;;;País de Europa menos UE28;2020;""
A Delitos;1 Homicidio y sus formas;;;País de Europa menos UE28;2019;15
A Delitos;1 Homicidio y sus formas;;;País de Europa menos UE28;2018;15
A Delitos;1 Homicidio y sus formas;;;País de Europa menos UE28;2017;10
A Delitos;1 Homicidio y sus formas;;;País de Europa menos UE28;2016;9
A Delitos;1 Homicidio y sus formas;;;País de Europa menos UE28;2015;11
A Delitos;1 Homicidio y sus formas;;;País de Europa menos UE28;2014;9
A Delitos;1 Homicidio y sus formas;;;País de Europa menos UE28;2013;12
A Delitos;1 Homicidio y sus formas;;;País de Europa menos UE27_2020;2024;20
A Delitos;1 Homicidio y sus formas;;;País de Europa menos UE27_2020;2023;18
A Delitos;1 Homicidio y sus formas;;;País de Europa menos UE27_2020;2022;12
A Delitos;1 Homicidio y sus formas;;;País de Europa menos UE27_2020;2021;12
A Delitos;1 Homicidio y sus formas;;;País de Europa menos UE27_2020;2020;31
A Delitos;1 Homicidio y sus formas;;;País de Europa menos UE27_2020;2019;""
A Delitos;1 Homicidio y sus formas;;;País de Europa menos UE27_2020;2018;""
A Delitos;1 Homicidio y sus formas;;;País de Europa menos UE27_2020;2017;""
A Delitos;1 Homicidio y sus formas;;;País de Europa menos UE27_2020;2016;""
A Delitos;1 Homicidio y sus formas;;;País de Europa menos UE27_2020;2015;""
A Delitos;1 Homicidio y sus formas;;;País de Europa menos UE27_2020;2014;""
A Delitos;1 Homicidio y sus formas;;;País de Europa menos UE27_2020;2013;""
A Delitos;1 Homicidio y sus formas;;;De Africa;2024;86
A Delitos;1 Homicidio y sus formas;;;De Africa;2023;133
A Delitos;1 Homicidio y sus formas;;;De Africa;2022;126
A Delitos;1 Homicidio y sus formas;;;De Africa;2021;95
A Delitos;1 Homicidio y sus formas;;;De Africa;2020;69
A Delitos;1 Homicidio y sus formas;;;De Africa;2019;50
A Delitos;1 Homicidio y sus formas;;;De Africa;2018;61
A Delitos;1 Homicidio y sus formas;;;De Africa;2017;37
A Delitos;1 Homicidio y sus formas;;;De Africa;2016;52
A Delitos;1 Homicidio y sus formas;;;De Africa;2015;60
A Delitos;1 Homicidio y sus formas;;;De Africa;2014;64
A Delitos;1 Homicidio y sus formas;;;De Africa;2013;90
A Delitos;1 Homicidio y sus formas;;;De América;2024;103
A Delitos;1 Homicidio y sus formas;;;De América;2023;82
A Delitos;1 Homicidio y sus formas;;;De América;2022;76
A Delitos;1 Homicidio y sus formas;;;De América;2021;83
A Delitos;1 Homicidio y sus formas;;;De América;2020;77
A Delitos;1 Homicidio y sus formas;;;De América;2019;80
A Delitos;1 Homicidio y sus formas;;;De América;2018;79
A Delitos;1 Homicidio y sus formas;;;De América;2017;71
A Delitos;1 Homicidio y sus formas;;;De América;2016;69
A Delitos;1 Homicidio y sus formas;;;De América;2015;91
A Delitos;1 Homicidio y sus formas;;;De América;2014;98
A Delitos;1 Homicidio y sus formas;;;De América;2013;113
A Delitos;1 Homicidio y sus formas;;;De Asia;2024;39
A Delitos;1 Homicidio y sus formas;;;De Asia;2023;9
A Delitos;1 Homicidio y sus formas;;;De Asia;2022;6
A Delitos;1 Homicidio y sus formas;;;De Asia;2021;16
A Delitos;1 Homicidio y sus formas;;;De Asia;2020;9
A Delitos;1 Homicidio y sus formas;;;De Asia;2019;10
A Delitos;1 Homicidio y sus formas;;;De Asia;2018;8
A Delitos;1 Homicidio y sus formas;;;De Asia;2017;17
A Delitos;1 Homicidio y sus formas;;;De Asia;2016;12
A Delitos;1 Homicidio y sus formas;;;De Asia;2015;14
A Delitos;1 Homicidio y sus formas;;;De Asia;2014;15
A Delitos;1 Homicidio y sus formas;;;De Asia;2013;14
A Delitos;1 Homicidio y sus formas;;;De Oceanía;2024;0
A Delitos;1 Homicidio y sus formas;;;De Oceanía;2023;0
A Delitos;1 Homicidio y sus formas;;;De Oceanía;2022;0
A Delitos;1 Homicidio y sus formas;;;De Oceanía;2021;0
A Delitos;1 Homicidio y sus formas;;;De Oceanía;2020;0
A Delitos;1 Homicidio y sus formas;;;De Oceanía;2019;0
A Delitos;1 Homicidio y sus formas;;;De Oceanía;2018;0
A Delitos;1 Homicidio y sus formas;;;De Oceanía;2017;0
A Delitos;1 Homicidio y sus formas;;;De Oceanía;2016;2
A Delitos;1 Homicidio y sus formas;;;De Oceanía;2015;0
A Delitos;1 Homicidio y sus formas;;;De Oceanía;2014;1
A Delitos;1 Homicidio y sus formas;;;De Oceanía;2013;1
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Total;2024;433
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Total;2023;313
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Total;2022;362
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Total;2021;401
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Total;2020;352
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Total;2019;340
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Total;2018;329
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Total;2017;364
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Total;2016;430
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Total;2015;463
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Total;2014;492
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Total;2013;513
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Española;2024;304
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Española;2023;192
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Española;2022;247
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Española;2021;288
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Española;2020;225
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Española;2019;225
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Española;2018;229
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Española;2017;266
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Española;2016;323
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Española;2015;322
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Española;2014;324
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;Española;2013;339
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de la UE28 sin España;2024;""
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de la UE28 sin España;2023;""
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de la UE28 sin España;2022;""
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de la UE28 sin España;2021;""
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de la UE28 sin España;2020;""
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de la UE28 sin España;2019;39
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de la UE28 sin España;2018;26
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de la UE28 sin España;2017;35
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de la UE28 sin España;2016;26
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de la UE28 sin España;2015;44
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de la UE28 sin España;2014;52
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de la UE28 sin España;2013;36
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de la UE27_2020 sin España;2024;20
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de la UE27_2020 sin España;2023;23
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de la UE27_2020 sin España;2022;24
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de la UE27_2020 sin España;2021;26
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de la UE27_2020 sin España;2020;23
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de la UE27_2020 sin España;2019;""
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de la UE27_2020 sin España;2018;""
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de la UE27_2020 sin España;2017;""
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de la UE27_2020 sin España;2016;""
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de la UE27_2020 sin España;2015;""
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de la UE27_2020 sin España;2014;""
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de la UE27_2020 sin España;2013;""
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de Europa menos UE28;2024;""
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de Europa menos UE28;2023;""
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de Europa menos UE28;2022;""
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de Europa menos UE28;2021;""
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de Europa menos UE28;2020;""
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de Europa menos UE28;2019;3
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de Europa menos UE28;2018;5
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de Europa menos UE28;2017;5
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de Europa menos UE28;2016;3
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de Europa menos UE28;2015;3
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de Europa menos UE28;2014;4
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de Europa menos UE28;2013;6
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de Europa menos UE27_2020;2024;7
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de Europa menos UE27_2020;2023;7
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de Europa menos UE27_2020;2022;4
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de Europa menos UE27_2020;2021;2
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de Europa menos UE27_2020;2020;12
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de Europa menos UE27_2020;2019;""
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de Europa menos UE27_2020;2018;""
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de Europa menos UE27_2020;2017;""
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de Europa menos UE27_2020;2016;""
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de Europa menos UE27_2020;2015;""
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de Europa menos UE27_2020;2014;""
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;País de Europa menos UE27_2020;2013;""
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De Africa;2024;51
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De Africa;2023;40
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De Africa;2022;42
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De Africa;2021;39
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De Africa;2020;45
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De Africa;2019;26
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De Africa;2018;29
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De Africa;2017;17
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De Africa;2016;32
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De Africa;2015;40
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De Africa;2014;39
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De Africa;2013;52
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De América;2024;50
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De América;2023;45
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De América;2022;41
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De América;2021;42
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De América;2020;43
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De América;2019;42
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De América;2018;36
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De América;2017;32
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De América;2016;37
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De América;2015;44
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De América;2014;61
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De América;2013;67
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De Asia;2024;1
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De Asia;2023;6
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De Asia;2022;4
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De Asia;2021;4
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De Asia;2020;4
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De Asia;2019;5
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De Asia;2018;4
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De Asia;2017;9
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De Asia;2016;9
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De Asia;2015;10
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De Asia;2014;11
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De Asia;2013;12
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De Oceanía;2024;0
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De Oceanía;2023;0
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De Oceanía;2022;0
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De Oceanía;2021;0
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De Oceanía;2020;0
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De Oceanía;2019;0
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De Oceanía;2018;0
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De Oceanía;2017;0
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De Oceanía;2016;0
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De Oceanía;2015;0
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De Oceanía;2014;1
A Delitos;1 Homicidio y sus formas;1.1 Homicidio;;De Oceanía;2013;1
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Total;2024;314
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Total;2023;211
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Total;2022;193
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Total;2021;184
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Total;2020;219
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Total;2019;205
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Total;2018;170
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Total;2017;200
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Total;2016;202
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Total;2015;264
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Total;2014;244
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Total;2013;297
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Española;2024;214
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Española;2023;134
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Española;2022;145
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Española;2021;127
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Española;2020;158
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Española;2019;161
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Española;2018;126
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Española;2017;135
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Española;2016;158
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Española;2015;203
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Española;2014;184
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;Española;2013;203
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;País de la UE28 sin España;2024;""
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;País de la UE28 sin España;2023;""
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;País de la UE28 sin España;2022;""
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;País de la UE28 sin España;2021;""
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;País de la UE28 sin España;2020;""
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;País de la UE28 sin España;2019;14
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;País de la UE28 sin España;2018;11
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;País de la UE28 sin España;2017;24
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;País de la UE28 sin España;2016;13
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;País de la UE28 sin España;2015;21
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;País de la UE28 sin España;2014;17
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;País de la UE28 sin España;2013;31
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;País de la UE27_2020 sin España;2024;15
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;País de la UE27_2020 sin España;2023;21
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;País de la UE27_2020 sin España;2022;16
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;País de la UE27_2020 sin España;2021;9
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;País de la UE27_2020 sin España;2020;18
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;País de la UE27_2020 sin España;2019;""
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;País de la UE27_2020 sin España;2018;""
A Delitos;1 Homicidio y sus formas;1.2 Asesinato;;País de la UE27_2020 sin España;2017;""
